Id,Vendor,Product,Version,Type,End-Of-Life
285,Adobe Systems,Adobe Graphics Server 2.x,2.x,2,1
286,Adobe Systems,Adobe Reader 7.x,7.x,2,1
287,Adobe Systems,Adobe Audition 4.x,4.x,2,0
288,Adobe Systems,Macromedia Dreamweaver MX,,2,1
289,Adobe Systems,Adobe LiveMotion 1.x,1.x,2,1
290,Adobe Systems,Adobe AIR 13.x,13.x,2,0
291,Adobe Systems,Adobe InDesign CC 9.x,9.x,2,0
292,Adobe Systems,Macromedia Flash MX Professional 2004,,2,0
293,Adobe Systems,Macromedia Captivate 1.x,1.x,2,0
294,Adobe Systems,Adobe Photoshop Elements 5.x,5.x,2,1
295,Adobe Systems,Adobe Connect add-in 9.x,9.x,2,0
296,Adobe Systems,Adobe Acrobat Distiller Server 5.x,5.x,2,1
297,Adobe Systems,Adobe Presenter 7.x,7.x,2,0
298,Adobe Systems,Adobe Stock Photos 1.x,1.x,2,-1
299,Adobe Systems,Macromedia Flash MX,6.x,2,0
300,Adobe Systems,Adobe Acrobat Reader 4.x,4.x,2,1
301,Adobe Systems,Adobe ColdFusion 9.x,9.x,2,0
302,Adobe Systems,Adobe Flex 3.x,3.x,2,0
303,Adobe Systems,Adobe Flash Player 9.x,9.x,2,1
304,Adobe Systems,Macromedia Fireworks 4,4.x,2,0
305,Adobe Systems,Adobe Photoshop 5.x,5.x,2,1
306,Adobe Systems,Adobe Flex 4.x,4.x,2,0
307,Adobe Systems,Macromedia Breeze / Acrobat Connect Professional 5.x,5.x,2,-1
308,Adobe Systems,Android File Transfer 1.x,1.x,2,0
309,Adobe Systems,Adobe Photoshop Elements 4.x,4.x,2,1
310,Adobe Systems,Adobe Reader for Android 11.x,11.x,2,0
311,Adobe Systems,Macromedia FreeHand 9.x,9.x,2,1
312,Adobe Systems,Adobe Dreamweaver CS3 9.x,9.x,2,1
313,Adobe Systems,Adobe Premiere Elements 10.x,10.x,2,0
314,Adobe Systems,Adobe Pagemill 3.0,3.x,2,1
315,Adobe Systems,Adobe Photoshop Elements 12.x,12.x,2,0
316,Adobe Systems,Adobe RoboHelp 8.x,8.x,2,0
317,Adobe Systems,Adobe Soundbooth CS4,2.x,2,0
318,Adobe Systems,Adobe ColdFusion MX 7.x,7.x,2,1
319,Adobe Systems,Adobe Premiere Pro 7.x,7.x,2,0
320,Adobe Systems,Adobe Help Center 1.x,1.x,2,1
321,Adobe Systems,Adobe Dreamweaver CS6 12.x,12.x,2,0
322,Adobe Systems,Adobe InDesign CS 3.x,3.x,2,1
323,Adobe Systems,Adobe Photoshop Express 1.x,1.x,2,0
324,Adobe Systems,Adobe Golive 4,4.x,2,1
325,Adobe Systems,Adobe LiveCycle Form Manager 7.x,7.x,2,1
326,Adobe Systems,Adobe Pixel Bender Toolkit 2.x,2.x,2,0
327,Adobe Systems,Adobe Illustrator CC 17.x,17.x,2,0
328,Adobe Systems,Macromedia FreeHand MX,,2,1
329,Adobe Systems,Adobe Presenter 6.x,6.x,2,1
330,Adobe Systems,Adobe Content Viewer 3.x,3.x,2,0
331,Adobe Systems,Adobe Photoshop Lightroom 4.x,4.x,2,0
332,Adobe Systems,Adobe Acrobat Reader 5.x,5.x,2,1
333,Adobe Systems,Adobe Designer 7.x,7.x,2,-1
334,Adobe Systems,Adobe Premiere Pro CS4 4.x,4.x,2,0
335,Adobe Systems,Macromedia Dreamweaver 4,4.x,2,1
336,Adobe Systems,Adobe Photoshop 6.x,6.x,2,1
337,Adobe Systems,Adobe Reader 8.x,8.x,2,1
338,Adobe Systems,FFMail Module ActiveX Control 5.x,5.x,2,-1
339,Adobe Systems,Adobe Photoshop CS6 13.x,13.x,2,0
340,Adobe Systems,Adobe Version Cue CS2,2.x,2,0
341,Adobe Systems,Adobe Flex Data Services 2.x,2.x,2,0
342,Adobe Systems,Adobe Photoshop Elements 2.x,2.x,2,1
343,Adobe Systems,Adobe Photoshop Touch 1.x,1.x,2,0
344,Adobe Systems,Adobe Acrobat Elements 7.x,7.x,2,1
345,Adobe Systems,Adobe Bridge CS5 4.x,4.x,2,0
346,Adobe Systems,Adobe Dimension 3.x,3.x,2,1
347,Adobe Systems,Adobe RoboHelp Server 9.x,9.x,2,0
348,Adobe Systems,Adobe SVG Viewer 1.x,1.x,2,1
349,Adobe Systems,Adobe InDesign Server CS5 7.x,7.x,2,0
350,Adobe Systems,Adobe Extension Manager CS4,2.x,2,0
351,Adobe Systems,Adobe Encore DVD 1.x,1.x,2,1
352,Adobe Systems,Adobe Extension Manager CS5,5.x,2,0
353,Adobe Systems,Adobe Illustrator CS3 13.x,13.x,2,1
354,Adobe Systems,Adobe Reader X 10.x,10.x,2,0
355,Adobe Systems,Macromedia Flash Media Server 2.x,2.x,2,0
356,Adobe Systems,Adobe Illustrator CS2 12.x,12.x,2,1
357,Apache Software Consulting,Apache POI 2.x,2.x,2,0
358,Apache Software Consulting,Apache Commons Digester 2.x,2.x,2,0
359,Apache Software Consulting,Apache Jackrabbit 2.x,2.x,2,0
360,Apache Software Consulting,Apache Avro 1.x,1.x,2,0
361,Apache Software Consulting,Apache Tomcat Native Library 1.x,1.x,2,0
362,Apache Software Consulting,Apache NMS ActiveMQ 1.x,1.x,2,0
363,Apache Software Consulting,Klondike WAP Browser for Windows 1.x,1.x,2,-1
364,Apache Software Consulting,Apache Woden 1.x,1.x,2,0
365,Apache Software Foundation,Apache Lucene 4.x,4.x,2,0
366,Apache Software Foundation,Apache Ant 1.8.x,1.8.x,2,0
